midpx               : 0.008734140506126002
lastpx              : 0.007737631266606254
open                : 0.007753697167086628
high                : 0.00790018194180337
low                 : 0.007529524855215008
bid0                : 0.008722637459489892
ask0                : 0.008745637868806633
bid4                : 0.008697237700505197
ask4                : 0.008783780986138514
bid9                : 0.008692686654905024
ask9                : 0.008809885574936263
bid19               : 0.008146598087728945
ask19               : 0.00886813948275371
bsize0              : -0.0035340589239960286
asize0              : -0.012267539229714764
bsize0_4            : -0.009195626818077295
asize0_4            : -0.011410248324881446
bsize5_9            : -0.009388844579228913
asize5_9            : -0.009729155824382418
bsize10_19          : -0.009297354757116575
asize10_19          : -0.013241870183191406
btr0_4              : -0.012258901317714342
atr0_4              : -0.014567469555544275
btr5_9              : -0.008680954194968624
atr5_9              : -0.01375186240197101
btr10_19            : -0.005343151411858642
atr10_19            : -0.016230855005164815
nTradeBuy           : 0.07636758475041443
tradeBuyQty         : 0.046426873733067905
tradeBuyTurnover    : 0.07881021800277077
tradeBuyHigh        : 0.007510073770636104
tradeBuyLow         : 0.007145939079534971
buyVwad             : -0.019418021840546265
nTradeSell          : 0.09025389858053955
tradeSellQty        : 0.060445210849332194
tradeSellTurnover   : 0.09199964320518869
tradeSellHigh       : 0.007368456562893745
tradeSellLow        : 0.007004229731563099
sellVwad            : -0.0338468970970369
nAddBuy             : 0.09608579731905761
addBuyQty           : 0.054778656851004144
addBuyTurnover      : 0.08706604427893852
addBuyHigh          : 0.010281330872359046
addBuyLow           : -0.0188577467449007
nAddSell            : 0.08977221152440795
addSellQty          : 0.05846541062801311
addSellTurnover     : 0.09480719717081422
addSellHigh         : 0.003261053274131003
addSellLow          : -0.021147106874203257
nCxlBuy             : 0.058605706186141936
cxlBuyQty           : 0.023217177399391217
cxlBuyTurnover      : 0.053205613964986326
cxlBuyHigh          : 0.007079825089842593
cxlBuyLow           : 0.005533896513318758
nCxlSell            : 0.08163834629917108
cxlSellQty          : 0.04441468890178618
cxlSellTurnover     : 0.07178798308104589
cxlSellHigh         : 0.0002644488947443837
cxlSellLow          : 0.006783918597511039
