midpx               : 0.008734140506126016
lastpx              : 0.007737631266606271
open                : 0.007753697167086622
high                : 0.007900181941803378
low                 : 0.007529524855215
bid0                : 0.008722637459489911
ask0                : 0.00874563786880665
bid4                : 0.008697237700505185
ask4                : 0.008783780986138518
bid9                : 0.008692686654905022
ask9                : 0.008809885574936265
bid19               : 0.008146598087728938
ask19               : 0.008868139482753706
bsize0              : -0.003534058923996027
asize0              : -0.012267539229714759
bsize0_4            : -0.009195626818077307
asize0_4            : -0.011410248324881448
bsize5_9            : -0.009388844579228907
asize5_9            : -0.009729155824382416
bsize10_19          : -0.00929735475711657
asize10_19          : -0.013241870183191385
btr0_4              : -0.012258901317714347
atr0_4              : -0.014567469555544263
btr5_9              : -0.008680954194968619
atr5_9              : -0.013751862401971007
btr10_19            : -0.005343151411858646
atr10_19            : -0.016230855005164812
nTradeBuy           : 0.07636758475041432
tradeBuyQty         : 0.046426873733067926
tradeBuyTurnover    : 0.07881021800277069
tradeBuyHigh        : 0.007510073770636118
tradeBuyLow         : 0.007145939079534973
buyVwad             : -0.019418021840546258
nTradeSell          : 0.09025389858053963
tradeSellQty        : 0.06044521084933211
tradeSellTurnover   : 0.09199964320518862
tradeSellHigh       : 0.007368456562893761
tradeSellLow        : 0.007004229731563087
sellVwad            : -0.03384689709703689
nAddBuy             : 0.09608579731905761
addBuyQty           : 0.054778656851004165
addBuyTurnover      : 0.08706604427893853
addBuyHigh          : 0.010281330872359053
addBuyLow           : -0.018857746744900677
nAddSell            : 0.08977221152440798
addSellQty          : 0.05846541062801305
addSellTurnover     : 0.09480719717081423
addSellHigh         : 0.003261053274131004
addSellLow          : -0.02114710687420324
nCxlBuy             : 0.058605706186141866
cxlBuyQty           : 0.02321717739939123
cxlBuyTurnover      : 0.05320561396498634
cxlBuyHigh          : 0.007079825089842581
cxlBuyLow           : 0.005533896513318758
nCxlSell            : 0.08163834629917104
cxlSellQty          : 0.0444146889017862
cxlSellTurnover     : 0.0717879830810459
cxlSellHigh         : 0.00026444889474438386
cxlSellLow          : 0.006783918597511055
